תאריך,יום,בעלים,ערוץ,טור,לקוח / משימה,דלי,מהלך,מוטיבים,ארכיטיפ,אזור,יום מסלול,מוצר מוביל,SKU,חומר שיווקי,פוטנציאל/שנה,קצב צפוי,מחזור 12ח׳,תה 12ח׳,מאצ'ה 12ח׳,חור מוזה,וואטסאפ,פתיחה,הסגירה,אם מסרבים,למה היום,תוצאה (זכה / לא עכשיו / לא ענה / סירב),תאריך תוצאה
2026-09-17,חמישי,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,יונייטד פאסט קז'ואל אינק (פוקי סניף הרצליה),T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,4885,567,7535,7535,0,,,,,,,,
2026-09-17,חמישי,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,"(נוצ' נודלס בע""מ) 'נוצ - NOOCH",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,4601,525,3660,3660,0,,,,,,,,
2026-09-17,חמישי,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,אלוף (בני ציון הבימה בע״מ),T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,4561,519,13115,13115,0,,,,,,,,
2026-09-17,חמישי,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,"רשת פט אנד פאף בע""מ",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,4560,518,13176,13176,0,,,,,,,,
2026-09-17,חמישי,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,"עמיתה ביאליק (א.אנד מ. בייקרי בע""מ)",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,4548,517,9192,9192,0,,,,,,,,
2026-09-17,חמישי,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,"קפה אלג'יר בע""מ",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,4447,502,5915,5915,0,,,,,,,,
2026-09-17,חמישי,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,"ק.ג. עוגן גלעד בע""מ (מסעדה רנו אמיליה)",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,4360,488,5124,5124,0,,,,,,,,
2026-09-17,חמישי,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,"גרוזדומיצין בע""מ (שישקו קפה הכובשים)",T3,מאצ'ה — עומק,E2 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי,4357,566,4178,3588,590,,,,,,,,
2026-09-17,חמישי,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,שפרה בייקרי בע״מ,T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,4348,487,7217,6687,0,,,,,,,,
2026-09-17,חמישי,תום,וואטסאפ — תום,וואטסאפ 2 — תוכן אחר,"זוריק זה טוב בע""מ (זוריק סלוניקי)",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,4307,481,7686,7686,0,,,,,,,,
2026-09-22,שלישי,אבי,שיחה — אבי,שיחה 2 — תוכן אחר,"מולה בוטני בע""מ",T2,מאצ'ה — עומק,E2 E5,תה בלבד,דרום,רביעי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי,6778,1694,46296,35802,1590,,,,,,,,
2026-09-22,שלישי,אבי,שיחה — אבי,שיחה 1,"קסם מזנונים בע""מ (אוטביה)",T2,מאצ'ה — עומק,E2 E4 E5,ספיישלטי,דרום,רביעי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי,2830,663,27250,14430,5310,,"היי קסם מזנונים בע""מ (אוטביה), אתם על ₪5,310 מאצ'ה בשנה. בתי עסק בגודל שלכם על ₪5,460. הפער הוא בערך 70 מנות בשנה שלא יוצאות מהדלפק. להעלות את הכמות הקבועה במשלוח? כן/לא","מאצ'ה עובדת אצלכם — ₪5,310 בשנה. הסיבה שאני מתקשר היא שבתי עסק בגודל שלכם על ₪5,460, וההפרש הזה הוא בדרך כלל לא ביקוש, אלא נגמר באמצע שבוע.","אני מעלה את הכמות הקבועה במשלוח. אותה עגלה, בלי שינוי אחר בהזמנה — רק שלא ייגמר לכם ברביעי.",,מאצ'ה — עומק,,
2026-09-22,שלישי,אבי,משימת מערכת,משימת מערכת,לכידת טלפונים — 10 חשבונות,—,—,,,,,,,,,,,,,,,,,,0 מתוך 153 בשופיפיי,,
2026-09-22,שלישי,אלכס+אבי,פגישה — אלכס + אבי,פגישה משותפת,R2M,T1,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,63251,19656,120726,120726,0,,"היי R2M, אתם קונים אצלנו תמציות ב-₪120,726 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪120,726 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה — קו חדש,,
2026-09-22,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,"גפאן בית שמש (ואי.אמ.די מסעדות בע""מ)",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,דרום,רביעי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,4960,466,453,260,0,2824,"היי גפאן בית שמש (ואי.אמ.די מסעדות בע""מ), אתם קונים אצלנו תמציות ב-₪260 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪260 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים. ואגב — מוזה ירדה אצלנו מהקו. הייתם על ₪2,824 בשנה. יש סנגריה ורודה ויש תרכיז שעובד כבסיס קוקטייל, כשתרצו.",,מאצ'ה,,
2026-09-22,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,עידן שהרבני (החצר האסייתית),T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,דרום,רביעי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,4508,511,2151,2886,0,,"היי עידן שהרבני (החצר האסייתית), אתם קונים אצלנו תמציות ב-₪2,886 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪2,886 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-09-22,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,הרואה 39,T3,מאצ'ה — עומק,E2 E4 S,ספיישלטי,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי,4277,455,2045,528,740,3925,"היי הרואה 39, אתם על ₪740 מאצ'ה בשנה. בתי עסק בגודל שלכם על ₪1,550. הפער הוא בערך 380 מנות בשנה שלא יוצאות מהדלפק. להעלות את הכמות הקבועה במשלוח? כן/לא","מאצ'ה עובדת אצלכם — ₪740 בשנה. הסיבה שאני מתקשר היא שבתי עסק בגודל שלכם על ₪1,550, וההפרש הזה הוא בדרך כלל לא ביקוש, אלא נגמר באמצע שבוע.","אני מעלה את הכמות הקבועה במשלוח. אותה עגלה, בלי שינוי אחר בהזמנה — רק שלא ייגמר לכם ברביעי. ואגב — מוזה ירדה אצלנו מהקו. הייתם על ₪3,925 בשנה. יש סנגריה ורודה ויש תרכיז שעובד כבסיס קוקטייל, כשתרצו.",,מאצ'ה,,
2026-09-22,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,"(לאט לאט מהר מהר בע""מ) Mamie",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,4195,464,7617,7617,0,,"היי (לאט לאט מהר מהר בע""מ) Mamie, אתם קונים אצלנו תמציות ב-₪7,617 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪7,617 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-09-22,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,"ג'וסה קולד פרס בע""מ",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,4086,447,6384,6384,0,,"היי ג'וסה קולד פרס בע""מ, אתם קונים אצלנו תמציות ב-₪6,384 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪6,384 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-09-22,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,"קפה ספסל בע""מ",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,4027,439,7898,7898,0,,"היי קפה ספסל בע""מ, אתם קונים אצלנו תמציות ב-₪7,898 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪7,898 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-09-22,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,"נועם משאל השקעות בע""מ (קפה הכרם)",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,4000,434,7737,7737,0,,"היי נועם משאל השקעות בע""מ (קפה הכרם), אתם קונים אצלנו תמציות ב-₪7,737 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪7,737 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-09-22,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,"הספסל (הספסל בע""מ)",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,3965,429,7020,7020,0,,"היי הספסל (הספסל בע""מ), אתם קונים אצלנו תמציות ב-₪7,020 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪7,020 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-09-22,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,מיכאל הררי (זולא),T3,מאצ'ה — עומק,E2 E3 E4,מעורב,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי,3909,498,5605,3660,1180,,"היי מיכאל הררי (זולא), אתם על ₪1,180 מאצ'ה בשנה. בתי עסק בגודל שלכם על ₪1,550. הפער הוא בערך 173 מנות בשנה שלא יוצאות מהדלפק. להעלות את הכמות הקבועה במשלוח? כן/לא","מאצ'ה עובדת אצלכם — ₪1,180 בשנה. הסיבה שאני מתקשר היא שבתי עסק בגודל שלכם על ₪1,550, וההפרש הזה הוא בדרך כלל לא ביקוש, אלא נגמר באמצע שבוע.","אני מעלה את הכמות הקבועה במשלוח. אותה עגלה, בלי שינוי אחר בהזמנה — רק שלא ייגמר לכם ברביעי.",,מאצ'ה,,
2026-09-22,שלישי,תום,וואטסאפ — תום,וואטסאפ 1,פינת הבילויים (״פינתה קפה ולחם בע״מ״),T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,דרום,רביעי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,3906,420,7176,2284,0,,"היי פינת הבילויים (״פינתה קפה ולחם בע״מ״), אתם קונים אצלנו תמציות ב-₪2,284 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪2,284 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-09-23,רביעי,אבי,משימת מערכת,משימת מערכת,לכידת טלפונים — 10 חשבונות,—,—,,,,,,,,,,,,,,,,,,0 מתוך 153 בשופיפיי,,
2026-09-23,רביעי,אלכס,משימת מערכת,משימת מערכת,13:00 עם תום — 10 דקות על היעדים,—,—,,,,,,,,,,,,,,,,,,,,
2026-09-24,חמישי,אבי,שיחה — אבי,שיחה 3 — סגירה,גוטה,T2,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,21210,4576,20592,20592,0,,,,"אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.","אם לא מאצ'ה — מחית פרי. שלושה אייס-מאצ'ה בקטלוג בנויים על מחית, והיא עובדת גם לבד בשייק. ₪60 לליטר.",,,
2026-09-24,חמישי,אבי,שיחה — אבי,שיחה 3 — סגירה,זוזוברה,T2,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,18420,3879,17168,17168,0,,,,"אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.","אם לא מאצ'ה — מחית פרי. שלושה אייס-מאצ'ה בקטלוג בנויים על מחית, והיא עובדת גם לבד בשייק. ₪60 לליטר.",,,
2026-09-24,חמישי,אבי,שיחה — אבי,שיחה 3 — סגירה,קפה מלבן,T2,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,17602,3674,20572,20572,0,,,,"אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.","אם לא מאצ'ה — מחית פרי. שלושה אייס-מאצ'ה בקטלוג בנויים על מחית, והיא עובדת גם לבד בשייק. ₪60 לליטר.",,,
2026-09-24,חמישי,אבי,שיחה — אבי,שיחה 3 — סגירה,דנדי,T2,מאצ'ה — קו חדש,E1 E3 E4,מעורב,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,14692,2947,26986,21571,0,,,,"אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.","אם לא מאצ'ה — מחית פרי. שלושה אייס-מאצ'ה בקטלוג בנויים על מחית, והיא עובדת גם לבד בשייק. ₪60 לליטר.",,,
2026-09-24,חמישי,תום,וואטסאפ — תום,וואטסאפ 1,נאבי,T3,מאצ'ה — עומק,E2 E5,מעורב,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי,3866,580,15528,8172,2720,,"היי נאבי, אתם על ₪2,720 מאצ'ה בשנה. בתי עסק בגודל שלכם על ₪5,460. הפער הוא בערך 1286 מנות בשנה שלא יוצאות מהדלפק. להעלות את הכמות הקבועה במשלוח? כן/לא","מאצ'ה עובדת אצלכם — ₪2,720 בשנה. הסיבה שאני מתקשר היא שבתי עסק בגודל שלכם על ₪5,460, וההפרש הזה הוא בדרך כלל לא ביקוש, אלא נגמר באמצע שבוע.","אני מעלה את הכמות הקבועה במשלוח. אותה עגלה, בלי שינוי אחר בהזמנה — רק שלא ייגמר לכם ברביעי.",,מאצ'ה,,
2026-09-24,חמישי,תום,וואטסאפ — תום,וואטסאפ 1,"ג'מה ר.ג בע""מ (ג'מה)",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,3834,410,3953,3953,0,,"היי ג'מה ר.ג בע""מ (ג'מה), אתם קונים אצלנו תמציות ב-₪3,953 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪3,953 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
2026-09-24,חמישי,תום,וואטסאפ — תום,וואטסאפ 1,"ח.צ. סושי בר בע""מ (אוקינאווה לבונטין)",T3,מאצ'ה — קו חדש,E1 E3 E4,תה בלבד,מרכז,ראשון/שני/חמישי,מאצ'ה שיזואוקה 500g ₪590,GT-SHI-CER-500,מאצ'ה — המקרה העסקי · דף ציוד לאבקות,3822,408,3510,3510,0,,"היי ח.צ. סושי בר בע""מ (אוקינאווה לבונטין), אתם קונים אצלנו תמציות ב-₪3,510 בשנה, ואין לכם מאצ'ה. 21 מתוך 48 המשקאות בקטלוג שלנו הם מאצ'ה או אובה — חצי תפריט שאתם לא מגישים. שקית 500 גרם = 277 מנות, ונשאר לכם ₪22.49 לכוס במקום ₪14.95 על תה קר. להוסיף אחת למשלוח הקרוב? כן/לא","אתם אצלנו על ₪3,510 תמציות בשנה — לקוח טוב. אבל אין לכם מאצ'ה, ו-21 מתוך 48 המשקאות בקטלוג שלנו בנויים עליה. חצי מהתפריט שאני יכול לתת לכם פשוט לא נמצא אצלכם על הדלפק.","אני מוסיף שקית מאצ'ה שיזואוקה 500 גרם למשלוח הקרוב — ₪590, 277 מנות, ₪2.13 מאצ'ה לכוס. במחיר תפריט ₪28 השקית מחזירה ₪7,756. אותה עגלה, אותו מקרר. ומקציף ב-₪100 אם אין לכם — בלעדיו זה גושים.",,מאצ'ה,,
